Time,RAName,Participant#,Experiment#,Age,Height,Weight,Gender,Heels,Hand,Position,Detected,MeasuredHeight,HeightDifference(%),HeightDifference(UnityUnits),CorrectCount,StepSize(%),StepSize(UnityUnits),Other
6/30/2017 4:53:29 PM,,,,,,,Male,Never,,Standing,True,1.652868,1,1.652868,1,0.05,0.08264341,
6/30/2017 4:54:02 PM,,,,,,,Male,Never,,Standing,False,1.652868,-0.95,-1.570225,1,0.05,0.08264341,
6/30/2017 4:54:26 PM,,,,,,,Male,Never,,Standing,True,1.652868,0.9,1.487581,2,0.05,0.08264341,
6/30/2017 4:54:42 PM,,,,,,,Male,Never,,Standing,True,1.652868,-0.85,-1.404938,3,0.05,0.08264341,
6/30/2017 4:55:18 PM,,,,,,,Male,Never,,Standing,True,1.652868,0.8,1.322295,4,0.05,0.08264341,
6/30/2017 4:55:36 PM,,,,,,,Male,Never,,Standing,True,1.652868,-0.7499999,-1.239651,5,0.05,0.08264341,
6/30/2017 4:57:23 PM,,,,,,,Male,Never,,Standing,True,1.652868,0.6999999,1.157008,6,0.05,0.08264341,
7/3/2017 3:47:54 PM,,,,,,,Male,Never,,Standing,True,1.878901,-0.7,-1.31523,1,0.05,0.09394503,
7/3/2017 3:49:08 PM,,,,,,,Male,Never,,Standing,True,1.878901,0.65,1.221285,2,0.05,0.09394503,
7/3/2017 3:49:25 PM,,,,,,,Male,Never,,Standing,True,1.878901,-0.6,-1.12734,3,0.05,0.09394503,
7/3/2017 3:49:44 PM,,,,,,,Male,Never,,Standing,True,1.878901,0.55,1.033395,4,0.05,0.09394503,
7/3/2017 3:49:51 PM,,,,,,,Male,Never,,Standing,True,1.878901,-0.4999999,-0.9394501,5,0.05,0.09394503,
7/3/2017 3:50:01 PM,,,,,,,Male,Never,,Standing,True,1.878901,0.4499999,0.8455051,6,0.05,0.09394503,
7/3/2017 3:50:18 PM,,,,,,,Male,Never,,Standing,True,1.878901,-0.3999999,-0.75156,7,0.05,0.09394503,
7/3/2017 3:54:00 PM,,,,,,,Male,Never,,Standing,True,1.324461,-0.67,-0.8873889,1,0.05,0.06622305,
7/3/2017 3:54:28 PM,,,,,,,Male,Never,,Standing,True,1.324461,0.62,0.8211658,2,0.05,0.06622305,
7/3/2017 3:54:35 PM,,,,,,,Male,Never,,Standing,True,1.324461,-0.57,-0.7549428,3,0.05,0.06622305,
7/3/2017 3:54:59 PM,,,,,,,Male,Never,,Standing,True,1.324461,0.52,0.6887197,4,0.05,0.06622305,
7/3/2017 3:55:13 PM,,,,,,,Male,Never,,Standing,False,1.324461,-0.47,-0.6224966,4,0.05,0.06622305,
7/3/2017 3:55:25 PM,,,,,,,Male,Never,,Standing,True,1.324461,0.42,0.5562736,5,0.05,0.06622305,
7/3/2017 3:55:57 PM,,,,,,,Male,Never,,Standing,True,1.324461,-0.3699999,-0.4900505,6,0.05,0.06622305,
7/3/2017 3:56:41 PM,,,,,,,Male,Never,,Standing,True,1.324461,0.3199999,0.4238274,7,0.05,0.06622305,
7/3/2017 3:57:01 PM,,,,,,,Male,Never,,Standing,True,1.324461,-0.2699999,-0.3576044,8,0.05,0.06622305,
7/12/2017 3:08:27 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.67,0.9139531,1,0.05,0.06820545,
7/12/2017 3:08:33 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.62,-0.8457476,2,0.05,0.06820545,
7/12/2017 3:08:38 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.57,0.7775421,3,0.05,0.06820545,
7/12/2017 3:08:44 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.52,-0.7093367,4,0.05,0.06820545,
7/12/2017 3:08:50 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.47,0.6411312,5,0.05,0.06820545,
7/12/2017 3:08:55 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.42,-0.5729257,6,0.05,0.06820545,
7/12/2017 3:09:02 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.3699999,0.5047203,7,0.05,0.06820545,
7/12/2017 3:09:14 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.3199999,-0.4365148,8,0.05,0.06820545,
7/12/2017 3:09:20 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.2699999,0.3683093,9,0.05,0.06820545,
7/12/2017 3:09:26 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.2199999,-0.3001039,10,0.05,0.06820545,
7/12/2017 3:09:30 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.402,0.5483719,1,0.03,0.04092327,
7/12/2017 3:09:36 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.372,-0.5074486,2,0.03,0.04092327,
7/12/2017 3:09:42 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.342,0.4665253,3,0.03,0.04092327,
7/12/2017 3:09:48 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.312,-0.4256021,4,0.03,0.04092327,
7/12/2017 3:09:53 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.282,0.3846788,5,0.03,0.04092327,
7/12/2017 3:10:02 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.252,-0.3437555,6,0.03,0.04092327,
7/12/2017 3:10:07 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.222,0.3028322,7,0.03,0.04092327,
7/12/2017 3:10:12 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.192,-0.261909,8,0.03,0.04092327,
7/12/2017 3:10:24 PM,test,,,,,,Male,Never,,Sitting,False,1.364109,0.162,0.2209857,8,0.03,0.04092327,
7/12/2017 3:10:39 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.132,-0.1800624,9,0.03,0.04092327,
7/12/2017 3:10:46 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.2412,0.3290232,1,0.018,0.02455396,
7/12/2017 3:10:52 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.2232,-0.3044692,2,0.018,0.02455396,
7/12/2017 3:10:59 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.2052,0.2799152,3,0.018,0.02455396,
7/12/2017 3:11:07 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.1872,-0.2553612,4,0.018,0.02455396,
7/12/2017 3:11:12 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.1692,0.2308073,5,0.018,0.02455396,
7/12/2017 3:11:23 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.1512,-0.2062533,6,0.018,0.02455396,
7/12/2017 3:11:34 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.1332,0.1816993,7,0.018,0.02455396,
7/12/2017 3:11:39 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,-0.1152,-0.1571454,8,0.018,0.02455396,
7/12/2017 3:11:44 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.09719999,0.1325914,9,0.018,0.02455396,
7/12/2017 3:11:53 PM,test,,,,,,Male,Never,,Sitting,False,1.364109,-0.07919999,-0.1080374,9,0.018,0.02455396,
7/12/2017 3:12:04 PM,test,,,,,,Male,Never,,Sitting,True,1.364109,0.14472,0.1974139,1,0.0108,0.01473238,
