Time,RAName,Participant#,Experiment#,Age,Height,Weight,Gender,Heels,Hand,Position,Detected,MeasuredHeight,HeightDifference(%),HeightDifference(UnityUnits),CorrectCount,StepSize(%),StepSize(UnityUnits),Other
2/26/2018 1:13:41 PM,test,test,test,21,5',,Female,Sometimes,R,Standing,True,0.5725231,-0.67,-0.3835905,1,0.05,0.02862616,
2/26/2018 1:14:32 PM,test,test,test,21,5',,Female,Sometimes,R,Standing,False,0.5725231,0.62,0.3549643,1,0.05,0.02862616,
2/26/2018 1:14:49 PM,test,test,test,21,5',,Female,Sometimes,R,Standing,True,0.5725231,-0.57,-0.3263382,2,0.05,0.02862616,
2/26/2018 1:15:14 PM,test,test,test,21,5',,Female,Sometimes,R,Standing,False,0.5725231,0.52,0.297712,2,0.05,0.02862616,
2/26/2018 1:15:27 PM,test,test,test,21,5',,Female,Sometimes,R,Standing,True,0.5725231,-0.47,-0.2690859,3,0.05,0.02862616,
2/26/2018 1:15:41 PM,test,test,test,21,5',,Female,Sometimes,R,Standing,True,0.5725231,0.42,0.2404597,4,0.05,0.02862616,
2/26/2018 1:15:50 PM,test,test,test,21,5',,Female,Sometimes,R,Standing,True,0.5725231,-0.3699999,-0.2118335,5,0.05,0.02862616,
2/26/2018 1:16:56 PM,test,test,test,21,5',,Female,Sometimes,R,Standing,False,0.5725231,0.3199999,0.1832074,5,0.05,0.02862616,
2/26/2018 1:17:07 PM,test,test,test,21,5',,Female,Sometimes,R,Standing,False,0.5725231,-0.2699999,-0.1545812,5,0.05,0.02862616,
2/26/2018 1:17:22 PM,test,test,test,21,5',,Female,Sometimes,R,Standing,True,0.5725231,0.2199999,0.125955,6,0.05,0.02862616,
2/26/2018 1:17:29 PM,test,test,test,21,5',,Female,Sometimes,R,Standing,True,0.5725231,-0.67,-0.3835905,1,0.05,0.02862616,
2/28/2018 2:42:56 PM,,,,,,,Male,Never,,Standing,True,1.107735,-0.67,-0.7421823,1,0.05,0.05538673,
2/28/2018 2:42:58 PM,,,,,,,Male,Never,,Standing,False,1.107735,0.62,0.6867955,1,0.05,0.05538673,
2/28/2018 2:42:58 PM,,,,,,,Male,Never,,Standing,False,1.107735,-0.57,-0.6314088,1,0.05,0.05538673,
2/28/2018 2:43:00 PM,,,,,,,Male,Never,,Standing,True,1.107735,0.52,0.576022,2,0.05,0.05538673,
2/28/2018 2:43:00 PM,,,,,,,Male,Never,,Standing,True,1.107735,-0.47,-0.5206352,3,0.05,0.05538673,
2/28/2018 2:43:02 PM,,,,,,,Male,Never,,Standing,True,1.107735,0.42,0.4652485,4,0.05,0.05538673,
2/28/2018 2:46:50 PM,,,,,,,Male,Never,,Standing,True,1.107834,0.67,0.7422487,1,0.05,0.0553917,
2/28/2018 2:46:51 PM,,,,,,,Male,Never,,Standing,False,1.107834,-0.62,-0.686857,1,0.05,0.0553917,
2/28/2018 2:46:52 PM,,,,,,,Male,Never,,Standing,True,1.107834,0.57,0.6314653,2,0.05,0.0553917,
2/28/2018 2:48:55 PM,,,,,,,Male,Never,,Standing,True,1.877172,0.67,1.257706,1,0.05,0.09385862,
2/28/2018 2:49:11 PM,,,,,,,Male,Never,,Standing,False,1.877172,-0.62,-1.163847,1,0.05,0.09385862,
2/28/2018 2:49:33 PM,,,,,,,Male,Never,,Standing,True,1.877172,0.57,1.069988,2,0.05,0.09385862,
2/28/2018 2:49:47 PM,,,,,,,Male,Never,,Standing,False,1.877172,-0.52,-0.9761297,2,0.05,0.09385862,
2/28/2018 2:50:07 PM,,,,,,,Male,Never,,Standing,True,1.877172,0.47,0.882271,3,0.05,0.09385862,
2/28/2018 2:50:25 PM,,,,,,,Male,Never,,Standing,False,1.877172,-0.42,-0.7884123,3,0.05,0.09385862,
2/28/2018 2:50:53 PM,,,,,,,Male,Never,,Standing,False,1.877172,0.3699999,0.6945537,3,0.05,0.09385862,
2/28/2018 2:51:19 PM,,,,,,,Male,Never,,Standing,True,1.877172,-0.3199999,-0.6006951,4,0.05,0.09385862,
2/28/2018 3:32:23 PM,,,,,,,Male,Never,,Standing,True,2.016216,0.67,1.350865,1,0.05,0.1008108,
2/28/2018 3:33:09 PM,,,,,,,Male,Never,,Standing,False,1.145519,-0.67,-0.7674979,0,0.05,0.05727596,
2/28/2018 3:33:11 PM,,,,,,,Male,Never,,Standing,False,1.145519,0.62,0.7102219,0,0.05,0.05727596,
2/28/2018 3:33:12 PM,,,,,,,Male,Never,,Standing,False,1.145519,-0.57,-0.652946,0,0.05,0.05727596,
2/28/2018 3:33:14 PM,,,,,,,Male,Never,,Standing,False,1.145519,0.52,0.59567,0,0.05,0.05727596,
2/28/2018 3:33:16 PM,,,,,,,Male,Never,,Standing,True,1.145519,-0.47,-0.538394,1,0.05,0.05727596,
